,Company Name,Industry,Symbol,Series,ISIN Code
0,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
1,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
2,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
3,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
4,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
5,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
6,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
7,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
8,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
9,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
10,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
11,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
12,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
13,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
14,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
15,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
16,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
17,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
18,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
19,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
20,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025
21,Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
22,Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
23,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
24,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
25,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
26,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
27,Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
28,Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
29,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
30,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
31,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
32,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
33,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
34,Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
35,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
36,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
37,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
38,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
39,Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
40,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
41,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
42,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
43,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
44,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
45,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
46,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
47,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
48,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
49,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
50,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
51,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
52,BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
53,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
54,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
