,Company Name,Industry,Symbol,Series,ISIN Code
0,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
1,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
2,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
3,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
4,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
5,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
6,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
7,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
8,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
10,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
11,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
12,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
13,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
14,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
15,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
16,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
17,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
18,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
19,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
20,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
21,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
22,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
23,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
24,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
25,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
26,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
27,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
28,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
29,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
30,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
31,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
32,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
33,NTPC Ltd.,Power,NTPC,EQ,INE733E01010
34,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
35,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
36,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
37,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
38,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
39,State Bank of India,Financial Services,SBIN,EQ,INE062A01020
40,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
41,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
42,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
43,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
44,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
45,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
46,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
47,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
48,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
49,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
